Make,Min.Price,Price,Max.Price,MPG.city,MPG.highway,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight
Chrysler Imperial,29.5,29.5,29.5,20,26,6,3.3,147,4800,1785,16,6,203,110,69,44,36,17,3570
Dodge Colt,7.9,9.2,10.6,29,33,4,1.5,92,6000,3285,13.2,5,174,98,66,32,26.5,11,2270
Dodge Shadow,8.4,11.3,14.2,23,29,4,2.2,93,4800,2595,14,5,172,97,67,38,26.5,13,2670
Dodge Spirit,11.9,13.3,14.7,22,27,4,2.5,100,4800,2535,16,6,181,104,68,39,30.5,14,2970
Dodge Caravan,13.6,19,24.4,17,21,6,3,142,5000,1970,20,7,175,112,72,42,26.5,NA,3705
Dodge Dynasty,14.8,15.6,16.4,21,27,4,2.5,100,4800,2465,16,6,192,105,69,42,30.5,16,3080
Dodge Stealth,18.5,25.8,33.1,18,24,6,3,300,6000,2120,19.8,4,180,97,72,40,20,11,3805
Eagle Summit,7.9,12.2,16.5,29,33,4,1.5,92,6000,2505,13.2,5,174,98,66,36,26.5,11,2295
Eagle Vision,17.5,19.3,21.2,20,28,6,3.5,214,5800,1980,18,6,202,113,74,40,30,15,3490
Ford Festiva,6.9,7.4,7.9,31,33,4,1.3,63,5000,3150,10,4,141,90,63,33,26,12,1845
Ford Escort,8.4,10.1,11.9,23,30,4,1.8,127,6500,2410,13.2,5,171,98,67,36,28,12,2530
Ford Tempo,10.4,11.3,12.2,22,27,4,2.3,96,4200,2805,15.9,5,177,100,68,39,27.5,13,2690
Ford Mustang,10.8,15.9,21,22,29,4,2.3,105,4600,2285,15.4,4,180,101,68,40,24,12,2850
Ford Probe,12.8,14,15.2,24,30,4,2,115,5500,2340,15.5,4,179,103,70,38,23,18,2710
Ford Aerostar,14.5,19.9,25.3,15,20,6,3,145,4800,2080,21,7,176,119,72,45,30,NA,3735
Ford Taurus,15.6,20.2,24.8,21,30,6,3,140,4800,1885,16,5,192,106,71,40,27.5,18,3325
Ford Crown_Victoria,20.1,20.9,21.7,18,26,8,4.6,190,4200,1415,20,6,212,114,78,43,30,21,3950
Geo Metro,6.7,8.4,10,46,50,3,1,55,5700,3755,10.6,4,151,93,63,34,27.5,10,1695
Geo Storm,11.5,12.5,13.5,30,36,4,1.6,90,5400,3250,12.4,4,164,97,67,37,24.5,11,2475
Honda Prelude,17,19.8,22.7,24,31,4,2.3,160,5800,2855,15.9,4,175,100,70,39,23.5,8,2865
Honda Civic,8.4,12.1,15.8,42,46,4,1.5,102,5900,2650,11.9,4,173,103,67,36,28,12,2350
Honda Accord,13.8,17.5,21.2,24,31,4,2.2,140,5600,2610,17,4,185,107,67,41,28,14,3040
Hyundai Excel,6.8,8,9.2,29,33,4,1.5,81,5500,2710,11.9,5,168,94,63,35,26,11,2345
Hyundai Elantra,9,10,11,22,29,4,1.8,124,6000,2745,13.7,5,172,98,66,36,28,12,2620
Hyundai Scoupe,9.1,10,11,26,34,4,1.5,92,5550,2540,11.9,4,166,94,64,34,23.5,9,2285
Hyundai Sonata,12.4,13.9,15.3,20,27,4,2,128,6000,2335,17.2,5,184,104,69,41,31,14,2885
Infiniti Q45,45.4,47.9,50.4,17,22,8,4.5,278,6000,1955,22.5,5,200,113,72,42,29,15,4000
Lexus ES300,27.5,28,28.4,18,24,6,3,185,5200,2325,18.5,5,188,103,70,40,27.5,14,3510
Lexus SC300,34.7,35.2,35.6,18,23,6,3,225,6000,2510,20.6,4,191,106,71,39,25,9,3515
Lincoln Continental,33.3,34.3,35.3,17,26,6,3.8,160,4400,1835,18.4,6,205,109,73,42,30,19,3695
Lincoln Town_Car,34.4,36.1,37.8,18,26,8,4.6,210,4600,1840,20,6,219,117,77,45,31.5,22,4055
Mazda 323,7.4,8.3,9.1,29,37,4,1.6,82,5000,2370,13.2,4,164,97,66,34,27,16,2325
Mazda Protege,10.9,11.6,12.3,28,36,4,1.8,103,5500,2220,14.5,5,172,98,66,36,26.5,13,2440
Mazda 626,14.3,16.5,18.7,26,34,4,2.5,164,5600,2505,15.5,5,184,103,69,40,29.5,14,2970
Mazda MPV,16.6,19.1,21.7,18,24,6,3,155,5000,2240,19.6,7,190,110,72,39,27.5,NA,3735
Mazda RX-7,32.5,32.5,32.5,17,25,rotary,1.3,255,6500,2325,20,2,169,96,69,37,NA,NA,2895
Mercedes-Benz 190E,29,31.9,34.9,20,29,4,2.3,130,5100,2425,14.5,5,175,105,67,34,26,12,2920
Mercedes-Benz 300E,43.8,61.9,80,19,25,6,3.2,217,5500,2220,18.5,5,187,110,69,37,27,15,3525
Mercury Capri,13.3,14.1,15,23,26,4,1.6,100,5750,2475,11.1,4,166,95,65,36,19,6,2450
Mercury Cougar,14.9,14.9,14.9,19,26,6,3.8,140,3800,1730,18,5,199,113,73,38,28,15,3610
Mitsubishi Mirage,7.7,10.3,12.9,29,33,4,1.5,92,6000,2505,13.2,5,172,98,67,36,26,11,2295
Mitsubishi Diamante,22.4,26.1,29.9,18,24,6,3,202,6000,2210,19,5,190,107,70,43,27.5,14,3730
Nissan Sentra,8.7,11.8,14.9,29,33,4,1.6,110,6000,2435,13.2,5,170,96,66,33,26,12,2545
Nissan Altima,13,15.7,18.3,24,30,4,2.4,150,5600,2130,15.9,5,181,103,67,40,28.5,14,3050
Nissan Quest,16.7,19.1,21.5,17,23,6,3,151,4800,2065,20,7,190,112,74,41,27,NA,4100
Nissan Maxima,21,21.5,22,21,26,6,3,160,5200,2045,18.5,5,188,104,69,41,28.5,14,3200
Oldsmobile Achieva,13,13.5,14,24,31,4,2.3,155,6000,2380,15.2,5,188,103,67,39,28,14,2910
Oldsmobile Cutlass_Ciera,14.2,16.3,18.4,23,31,4,2.2,110,5200,2565,16.5,5,190,105,70,42,28,16,2890
Oldsmobile Silhouette,19.5,19.5,19.5,18,23,6,3.8,170,4800,1690,20,7,194,110,74,44,30.5,NA,3715
Oldsmobile Eighty-Eight,19.5,20.7,21.9,19,28,6,3.8,170,4800,1570,18,6,201,111,74,42,31.5,17,3470
Plymouth Laser,11.4,14.4,17.4,23,30,4,1.8,92,5000,2360,15.9,4,173,97,67,39,24.5,8,2640
Pontiac LeMans,8.2,9,9.9,31,41,4,1.6,74,5600,3130,13.2,4,177,99,66,35,25.5,17,2350
Pontiac Sunbird,9.4,11.1,12.8,23,31,4,2,110,5200,2665,15.2,5,181,101,66,39,25,13,2575
Pontiac Firebird,14,17.7,21.4,19,28,6,3.4,160,4600,1805,15.5,4,196,101,75,43,25,13,3240
Pontiac Grand_Prix,15.4,18.5,21.6,19,27,6,3.4,200,5000,1890,16.5,5,195,108,72,41,28.5,16,3450
Pontiac Bonneville,19.4,24.4,29.4,19,28,6,3.8,170,4800,1565,18,6,177,111,74,43,30.5,18,3495
Saab 900,20.3,28.7,37.1,20,26,4,2.1,140,6000,2910,18,5,184,99,67,37,26.5,14,2775
Saturn SL,9.2,11.1,12.9,28,38,4,1.9,85,5000,2145,12.8,5,176,102,68,40,26.5,12,2495
Subaru Justy,7.3,8.4,9.5,33,37,3,1.2,73,5600,2875,9.2,4,146,90,60,32,23.5,10,2045
Subaru Loyale,10.5,10.9,11.3,25,30,4,1.8,90,5200,3375,15.9,5,175,97,65,35,27.5,15,2490
Subaru Legacy,16.3,19.5,22.7,23,30,4,2.2,130,5600,2330,15.9,5,179,102,67,37,27,14,3085
Suzuki Swift,7.3,8.6,10,39,43,3,1.3,70,6000,3360,10.6,4,161,93,63,34,27.5,10,1965
Toyota Tercel,7.8,9.8,11.8,32,37,4,1.5,82,5200,3505,11.9,5,162,94,65,36,24,11,2055
Toyota Celica,14.2,18.4,22.6,25,32,4,2.2,135,5400,2405,15.9,4,174,99,69,39,23,13,2950
Toyota Camry,15.2,18.2,21.2,22,29,4,2.2,130,5400,2340,18.5,5,188,103,70,38,28.5,15,3030
Toyota Previa,18.9,22.7,26.6,18,22,4,2.4,138,5000,2515,19.8,7,187,113,71,41,35,NA,3785
Volkswagen Fox,8.7,9.1,9.5,25,33,4,1.8,81,5500,2550,12.4,4,163,93,63,34,26,10,2240
Volkswagen Eurovan,16.6,19.7,22.7,17,21,5,2.5,109,4500,2915,21.1,7,187,115,72,38,34,NA,3960
Volkswagen Passat,17.6,20,22.4,21,30,4,2,134,5800,2685,18.5,5,180,103,67,35,31.5,14,2985
Volkswagen Corrado,22.9,23.3,23.7,18,25,6,2.8,178,5800,2385,18.5,4,159,97,66,36,26,15,2810
Volvo 240,21.8,22.7,23.5,21,28,4,2.3,114,5400,2215,15.8,5,190,104,67,37,29.5,14,2985
Volvo 850,24.8,26.7,28.5,20,28,5,2.4,168,6200,2310,19.3,5,184,105,69,38,30,15,3245
