"age","job","marital","education","default","balance","housing","loan","poutcome","y"
"20s","technician","single","tertiary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"50s","retired","single","secondary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"20s","services","divorced","secondary","no","Low","yes","no","unknown","no"
"40s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"50s","self-employed","married","primary","no","Negative","yes","yes","unknown","no"
"30s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","retired","divorced","primary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Negative","yes","no","unknown","no"
"50s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"50s","technician","married","primary","no","Negative","no","no","unknown","no"
"50s","technician","divorced","unknown","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","unknown","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","yes","yes","unknown","no"
"50s","technician","married","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","single","secondary","no","Low","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Low","yes","yes","unknown","no"
"30s","services","married","secondary","no","Negative","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","services","married","secondary","no","Medium","yes","no","unknown","yes"
"50s","management","married","unknown","no","Medium","no","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Medium","yes","no","unknown","no"
"50s","admin.","single","secondary","no","Low","yes","yes","unknown","no"
"20s","unemployed","single","tertiary","no","Negative","yes","no","unknown","no"
"20s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Negative","yes","no","unknown","no"
"40s","services","single","unknown","no","Negative","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","housemaid","divorced","primary","no","Low","yes","no","unknown","no"
"30s","self-employed","single","secondary","no","Low","yes","no","unknown","no"
"50s","unemployed","married","tertiary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","divorced","primary","no","Low","yes","no","unknown","no"
"40s","unemployed","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","primary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","unknown","no","Negative","yes","no","unknown","no"
"20s","student","single","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","management","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","primary","no","Low","no","no","unknown","no"
"40s","services","married","secondary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","married","unknown","no","Medium","yes","no","unknown","no"
"50s","retired","divorced","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","unknown","no","Medium","yes","no","unknown","no"
"30s","technician","single","tertiary","no","Low","yes","no","unknown","no"
"40s","services","single","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","admin.","married","tertiary","no","Low","no","no","unknown","yes"
"40s","blue-collar","married","primary","no","Negative","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"40s","services","married","secondary","no","Medium","yes","yes","unknown","no"
"50s","entrepreneur","married","unknown","no","Low","yes","no","unknown","no"
"30s","retired","single","primary","no","Low","no","no","unknown","no"
"50s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"50s","admin.","divorced","secondary","no","Medium","yes","no","unknown","no"
"40s","unemployed","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","management","married","secondary","no","Medium","yes","no","unknown","no"
"30s","services","married","tertiary","no","Low","yes","no","unknown","no"
"30s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","tertiary","no","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Low","yes","no","unknown","no"
"30s","services","divorced","unknown","no","Medium","yes","no","unknown","no"
"50s","management","married","secondary","no","Medium","no","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","yes","yes","unknown","no"
"30s","management","single","tertiary","no","Negative","yes","no","unknown","no"
"50s","retired","married","secondary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","divorced","tertiary","no","Low","no","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"60s","blue-collar","divorced","primary","no","Medium","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","self-employed","married","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","student","single","unknown","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Negative","yes","no","unknown","no"
"40s","services","married","secondary","no","High","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","services","single","unknown","no","Low","yes","no","unknown","no"
"40s","retired","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"50s","housemaid","divorced","primary","no","Low","no","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"40s","unknown","married","unknown","no","Low","no","no","unknown","no"
"50s","unemployed","married","unknown","no","Low","no","no","unknown","no"
"40s","housemaid","married","primary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"30s","unemployed","married","secondary","no","Low","yes","no","unknown","no"
"20s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","entrepreneur","divorced","secondary","no","Negative","yes","no","unknown","no"
"50s","retired","married","secondary","no","Negative","no","yes","unknown","no"
"40s","technician","divorced","unknown","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","management","married","unknown","no","Medium","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"50s","services","divorced","secondary","no","Medium","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","entrepreneur","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"40s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","divorced","primary","no","Negative","yes","yes","unknown","no"
"40s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"40s","entrepreneur","married","unknown","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Negative","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"40s","management","married","unknown","no","Low","no","no","unknown","no"
"20s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Medium","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Negative","yes","yes","unknown","no"
"30s","services","single","secondary","no","Negative","yes","no","unknown","no"
"30s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"40s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","entrepreneur","divorced","secondary","no","Low","yes","no","unknown","no"
"20s","technician","single","secondary","no","Medium","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","yes","no","unknown","no"
"40s","entrepreneur","married","primary","no","Low","yes","no","unknown","no"
"20s","student","single","tertiary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"40s","management","single","tertiary","no","Negative","yes","yes","unknown","yes"
"30s","blue-collar","divorced","primary","no","Negative","yes","no","unknown","no"
"50s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","entrepreneur","divorced","secondary","no","Low","no","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","divorced","secondary","no","Negative","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","no","no","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"30s","self-employed","married","tertiary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Negative","yes","yes","unknown","no"
"50s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"20s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","single","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","single","unknown","no","Low","yes","no","unknown","no"
"20s","student","single","secondary","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","Negative","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","technician","divorced","primary","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"20s","student","single","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","divorced","primary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","unknown","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"40s","management","married","unknown","no","Negative","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","technician","married","unknown","no","Low","yes","no","unknown","no"
"50s","services","divorced","primary","no","Low","yes","yes","unknown","no"
"30s","services","divorced","secondary","no","Low","yes","yes","unknown","no"
"30s","admin.","single","tertiary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"50s","technician","single","secondary","no","Negative","yes","no","unknown","no"
"30s","retired","single","primary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"40s","management","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","divorced","tertiary","no","Medium","no","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"50s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","married","unknown","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"20s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"50s","management","single","tertiary","no","Medium","yes","no","unknown","no"
"40s","management","divorced","tertiary","no","Extra","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","single","secondary","no","Medium","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"50s","admin.","single","secondary","yes","Negative","no","no","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"40s","management","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","divorced","secondary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","services","married","unknown","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"40s","services","married","tertiary","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","management","single","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","unknown","divorced","unknown","no","Low","no","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"30s","entrepreneur","single","tertiary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","single","tertiary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Medium","yes","no","unknown","no"
"20s","services","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","divorced","tertiary","no","Low","yes","no","unknown","no"
"20s","student","single","secondary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","no","no","unknown","no"
"20s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"40s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","yes","yes","unknown","no"
"30s","management","married","secondary","no","High","no","no","unknown","no"
"40s","admin.","married","unknown","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Medium","yes","yes","unknown","no"
"50s","technician","married","unknown","no","Low","yes","no","unknown","no"
"30s","unemployed","married","secondary","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","yes","yes","unknown","yes"
"50s","blue-collar","divorced","unknown","no","Low","yes","no","unknown","no"
"50s","retired","divorced","secondary","no","Low","yes","no","unknown","yes"
"30s","technician","married","tertiary","no","High","yes","no","unknown","no"
"40s","technician","divorced","tertiary","no","Low","yes","no","unknown","no"
"20s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"30s","technician","single","secondary","no","Negative","yes","yes","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"40s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"20s","self-employed","single","tertiary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","technician","married","unknown","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","retired","married","tertiary","no","Negative","no","no","unknown","no"
"40s","blue-collar","divorced","primary","no","Medium","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Negative","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","unemployed","married","secondary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","divorced","primary","no","Low","yes","yes","unknown","no"
"30s","technician","married","secondary","yes","Low","yes","no","unknown","no"
"40s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"30s","technician","single","tertiary","no","Low","yes","no","unknown","no"
"40s","management","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Medium","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"30s","technician","single","tertiary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"30s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","primary","no","Low","yes","no","unknown","no"
"30s","technician","single","tertiary","no","Low","yes","no","unknown","no"
